   Current data set:
   NAME =	vvp_sport01122015	EXPNO =	1161	PROCNO = 1
   DU   =	D:/spectra/data/mntlabData

   Number   Integrated Region     Integral
     1      8.409      8.338        19.82306
     2      8.345      8.319         7.64228
     3      8.238      8.167         4.95623
     4      7.989      7.863        50.61255
     5      7.345      7.173        61.28488
     6      7.173      7.128        21.25131
     7      7.128      7.102         9.78398
     8      7.102      7.041        17.88072
     9      6.921      6.850        10.10312
    10      6.850      6.672        44.49396
    11      5.137      5.090       166.73710
    12      4.551      4.493       295.24103
    13      4.424      4.395        19.73435
    14      4.201      4.110        81.41034
    15      4.039      4.029         9.22004
    16      4.029      3.977       163.84225
    17      3.968      3.954        22.52006
    18      3.824      3.811        21.04685
    19      3.572      3.513       607.88065
    20      3.508      3.491        42.56980
    21      3.489      3.470        37.30264
    22      3.470      3.462        15.81352
    23      3.452      3.440        64.45049
    24      3.440      3.421       105.76022
    25      3.420      3.401        84.34017
    26      3.401      3.385        66.50879
    27      3.252      3.240        26.76608
    28      3.240      3.225        39.16875
    29      3.046      3.023       103.01593
    30      2.940      2.931        27.43329
    31      2.924      2.917        16.59101
    32      2.779      2.754        13.42006
    33      2.746      2.717        11.68615
    34      2.713      2.687        61.94285
    35      2.604      2.555        52.52069
    36      2.547      2.505        24.45740
    37      2.460      2.407        32.95510
    38      2.263      2.249        22.17363
    39      2.167      2.158        17.97786
    40      2.119      2.107        30.03900
    41      1.942      1.903       344.30474
    42      1.815      1.803        23.31838
    43      1.683      1.515       191.34911
    44      1.520      1.411        98.50416
    45      1.378      1.346        94.04276
    46      1.317      1.271        49.26207
    47      1.237      1.197       609.92891
    48      1.096      1.087        36.75678
    49      1.087      1.059       600.29602
    50      1.059      1.043       118.75303
    51      0.937      0.907        63.94805
    52      0.903      0.883        32.16864
    53      0.883      0.859        69.38203
    54      0.859      0.839        68.22469
    55      0.839      0.827        44.96491
    56      0.827      0.818        30.58107
    57      0.812      0.797        43.08187
    58      0.049      0.040         4.00000
