   Current data set:
   NAME =	vvp_sport01122015	EXPNO =	1121	PROCNO = 1
   DU   =	D:/spectra/data/mntlabData

   Number   Integrated Region     Integral
     1      8.352      8.321         8.63380
     2      8.232      8.191        11.07167
     3      7.998      7.887        38.28778
     4      7.352      7.231        36.56714
     5      7.231      7.191        23.00265
     6      7.170      7.123        20.95405
     7      7.122      7.098         8.63046
     8      7.098      7.047        22.97295
     9      6.831      6.729        36.96111
    10      5.136      5.102       195.03677
    11      4.559      4.504       252.36860
    12      4.414      4.398         4.82662
    13      4.200      4.115        78.23769
    14      4.081      4.068         5.92765
    15      4.068      4.053         8.53609
    16      4.053      4.041         8.37277
    17      4.041      4.030         9.19471
    18      4.030      3.973       202.41481
    19      3.973      3.953        24.58100
    20      3.570      3.513       609.38795
    21      3.509      3.492        48.35914
    22      3.489      3.470        42.27727
    23      3.470      3.458        29.01186
    24      3.457      3.451        13.80130
    25      3.451      3.445        37.48675
    26      3.444      3.438        17.87834
    27      3.440      3.422       125.46907
    28      3.421      3.402       102.45172
    29      3.402      3.384        88.45154
    30      3.045      3.027        18.56874
    31      2.940      2.931        23.46997
    32      2.924      2.917        14.77266
    33      2.848      2.781        63.78497
    34      2.781      2.748        16.65401
    35      2.746      2.718        10.44592
    36      2.718      2.682       111.84543
    37      2.605      2.552        63.40755
    38      2.549      2.499        30.16577
    39      2.465      2.406        35.85176
    40      2.265      2.246        35.03156
    41      2.168      2.156        27.57789
    42      2.125      2.081        88.89531
    43      1.955      1.894       489.51407
    44      1.822      1.801        34.40287
    45      1.690      1.526       179.17554
    46      1.526      1.406       156.84423
    47      1.387      1.336       151.54091
    48      1.233      1.197       891.90229
    49      1.097      1.087        54.62335
    50      1.087      1.059       615.56183
    51      1.059      1.041       119.33301
    52      0.969      0.944        23.31403
    53      0.938      0.909        73.09624
    54      0.906      0.884        28.48586
    55      0.884      0.860        81.37059
    56      0.859      0.840        56.29924
    57      0.840      0.828        37.81156
    58      0.828      0.813        41.08204
    59      0.050      0.040         4.00000
