   Current data set:
   NAME =	vvp_sport01122015	EXPNO =	1147	PROCNO = 1
   DU   =	D:/spectra/data/mntlabData

   Number   Integrated Region     Integral
     1      8.424      8.292        35.81243
     2      8.270      8.162        27.08347
     3      7.999      7.866        65.37573
     4      7.649      7.375        58.30404
     5      7.362      7.236        48.38758
     6      7.236      7.170        39.32496
     7      7.170      7.097        42.00048
     8      7.097      7.056        22.84417
     9      6.842      6.691        61.76388
    10      5.147      5.098       281.44631
    11      5.083      5.051        32.67016
    12      4.551      4.510       305.16223
    13      4.268      4.096       119.67444
    14      4.035      4.027        10.07924
    15      4.027      4.021        17.10594
    16      4.021      4.017         7.57548
    17      4.017      3.976       169.41439
    18      3.970      3.954        30.52236
    19      3.954      3.941        14.74145
    20      3.825      3.811        28.76326
    21      3.586      3.571       145.34379
    22      3.571      3.513       837.14269
    23      3.508      3.489        62.81003
    24      3.489      3.470        48.46378
    25      3.471      3.458        32.63766
    26      3.458      3.449        37.40832
    27      3.441      3.422       161.95058
    28      3.422      3.403       126.38188
    29      3.403      3.385       111.77365
    30      3.251      3.239        33.40418
    31      3.239      3.225        45.71007
    32      3.169      3.154        47.85636
    33      3.045      3.023        43.91617
    34      2.940      2.931        35.64894
    35      2.924      2.918        17.77210
    36      2.836      2.805        43.69717
    37      2.778      2.751        13.39580
    38      2.746      2.715        13.63031
    39      2.718      2.685       142.73207
    40      2.614      2.604        14.46615
    41      2.604      2.555        63.87148
    42      2.550      2.501        28.98440
    43      2.466      2.405        32.81951
    44      2.399      2.383         8.31891
    45      2.383      2.369        13.90644
    46      2.262      2.253        24.44194
    47      2.251      2.247         6.06163
    48      2.181      2.167        26.38297
    49      2.167      2.158        21.06616
    50      2.158      2.146        25.74760
    51      2.123      2.103        81.58834
    52      1.954      1.894       712.10590
    53      1.820      1.799        49.32966
    54      1.678      1.517       251.93984
    55      1.517      1.411       204.16096
    56      1.393      1.334       189.11308
    57      1.247      1.188      1255.70912
    58      1.094      1.087        45.83656
    59      1.086      1.059       830.57804
    60      1.059      1.047       152.08272
    61      0.944      0.938         4.02031
    62      0.939      0.907        97.43467
    63      0.908      0.884        49.61024
    64      0.883      0.859       104.62320
    65      0.859      0.835       120.43707
    66      0.839      0.838         7.20960
    67      0.839      0.828        60.36190
    68      0.827      0.817        44.70983
    69      0.812      0.802        38.20794
    70      0.050      0.040         4.00000
