   Current data set:
   NAME =	vvp_sport01122015	EXPNO =	1135	PROCNO = 1
   DU   =	D:/spectra/data/mntlabData

   Number   Integrated Region     Integral
     1      7.976      7.869        13.67692
     2      7.351      7.191        17.22667
     3      7.191      7.108        11.15845
     4      7.110      7.045         6.86254
     5      6.827      6.720        12.49108
     6      5.143      5.090        92.74614
     7      5.087      5.063        10.07986
     8      4.557      4.480       223.84216
     9      4.427      4.401        14.89841
    10      4.221      4.125        49.74780
    11      4.051      3.979        83.98592
    12      3.979      3.942        18.84967
    13      3.048      3.015        15.67048
    14      2.948      2.928        18.58163
    15      2.941      2.931        11.08261
    16      2.926      2.906        20.16184
    17      2.926      2.919         5.66965
    18      2.724      2.682        42.85720
    19      2.607      2.557        27.20430
    20      2.476      2.401        18.27302
    21      2.310      2.293        16.68336
    22      2.267      2.247        15.48263
    23      2.134      2.089        28.62807
    24      2.096      2.089         2.29014
    25      1.955      1.877       228.26579
    26      1.822      1.800        17.30745
    27      1.701      1.541        85.70535
    28      1.541      1.408        58.52222
    29      1.402      1.329        68.29335
    30      1.329      1.269        29.03167
    31      1.243      1.196       323.09570
    32      1.097      1.058       346.41303
    33      1.058      1.036        56.31820
    34      0.943      0.909        27.16302
    35      0.909      0.893         6.90727
    36      0.893      0.862        33.82251
    37      0.862      0.854         7.98480
    38      0.853      0.829        35.31616
    39      0.829      0.814        17.53211
    40      0.814      0.798        18.12966
    41      0.055      0.030         4.00000
