   Current data set:
   NAME =	vvp_sport01122015	EXPNO =	1183	PROCNO = 1
   DU   =	D:/spectra/data/mntlabData

   Number   Integrated Region     Integral
     1      8.310      8.238        12.09906
     2      7.995      7.852        34.28485
     3      7.666      7.372        41.16089
     4      7.372      7.199        50.43733
     5      7.199      7.148        17.45429
     6      7.152      7.104        13.63198
     7      7.114      7.043        20.24470
     8      6.870      6.705        44.49778
     9      5.143      5.101       161.66721
    10      4.569      4.501       120.39541
    11      4.388      4.305       -26.08825
    12      4.211      4.115        42.58734
    13      4.039      3.979       131.28109
    14      3.979      3.964        14.23776
    15      3.830      3.813        17.43026
    16      3.575      3.512       640.62961
    17      3.512      3.491        45.75896
    18      3.491      3.472        28.88762
    19      3.472      3.456        24.18682
    20      3.256      3.240        22.01208
    21      3.240      3.223        23.22028
    22      3.053      3.025        12.82156
    23      2.952      2.935        24.79345
    24      2.919      2.905        21.33765
    25      2.785      2.736        12.87012
    26      2.721      2.689        76.64694
    27      2.609      2.561        39.55524
    28      2.563      2.504        19.93501
    29      2.477      2.414        11.84715
    30      2.266      2.250        21.00678
    31      2.140      2.103       130.42139
    32      1.958      1.903       452.18516
    33      1.660      1.543       109.30136
    34      1.522      1.400       211.98983
    35      1.391      1.342       122.91258
    36      1.321      1.274        59.61138
    37      1.234      1.200       868.04184
    38      1.096      1.061       772.77338
    39      1.061      1.045       110.47494
    40      0.946      0.906        60.10331
    41      0.906      0.892        16.22226
    42      0.894      0.873        41.34458
    43      0.875      0.862        31.61491
    44      0.862      0.840        64.53387
    45      0.841      0.829        40.08053
    46      0.829      0.817        36.23256
    47      0.055      0.040         4.00000
