   Current data set:
   NAME =	vvp_sport01122015	EXPNO =	1187	PROCNO = 1
   DU   =	D:/spectra/data/mntlabData

   Number   Integrated Region     Integral
     1      8.805      8.666        11.39945
     2      8.420      8.286        27.66053
     3      8.286      8.186        22.55169
     4      7.987      7.836        41.13365
     5      7.654      7.351        47.02368
     6      7.351      7.187        57.77468
     7      7.187      7.122        22.78088
     8      7.130      7.104         8.30311
     9      7.104      7.053        24.15422
    10      6.845      6.680        45.48702
    11      5.144      5.079       177.66412
    12      4.553      4.501       208.87229
    13      4.421      4.392         5.17759
    14      4.191      4.114        57.27178
    15      4.086      4.055        15.37263
    16      4.055      4.029        25.79320
    17      4.029      3.971       199.84519
    18      3.971      3.952        19.88028
    19      3.824      3.812        12.65557
    20      3.572      3.508       590.48962
    21      3.508      3.490        45.24734
    22      3.490      3.470        39.54527
    23      3.470      3.458        33.84451
    24      3.458      3.451        21.08683
    25      3.451      3.444        39.80841
    26      3.444      3.439        17.98659
    27      3.439      3.419       111.36767
    28      3.420      3.401        82.07696
    29      3.254      3.240        26.50890
    30      3.240      3.226        38.54686
    31      3.189      3.177        12.81464
    32      3.046      3.030        14.64160
    33      3.030      2.999        19.28235
    34      2.940      2.931        23.66855
    35      2.925      2.918         9.97546
    36      2.919      2.905        28.83580
    37      2.845      2.785        55.02043
    38      2.781      2.747        14.69542
    39      2.715      2.681        72.70463
    40      2.638      2.602        36.54002
    41      2.602      2.552        45.77420
    42      2.552      2.499        27.89280
    43      2.464      2.404        29.46059
    44      2.263      2.242        35.01604
    45      2.168      2.154        31.66513
    46      2.123      2.096        60.96186
    47      1.945      1.900       314.92393
    48      1.816      1.803        20.34894
    49      1.674      1.514       153.97815
    50      1.514      1.404       102.51076
    51      1.393      1.339       150.85596
    52      1.237      1.196       788.12876
    53      1.098      1.087        68.41252
    54      1.087      1.060       575.58336
    55      1.060      1.041       113.20581
    56      1.035      1.012        33.61079
    57      0.971      0.940        23.50633
    58      0.941      0.906        65.94221
    59      0.906      0.881        31.86551
    60      0.884      0.860        69.90054
    61      0.860      0.839        60.87630
    62      0.839      0.828        33.53380
    63      0.828      0.817        28.32396
    64      0.811      0.802        22.46090
    65      0.050      0.040         4.00000
