   Current data set:
   NAME =	vvp_sport01122015	EXPNO =	1141	PROCNO = 1
   DU   =	D:/spectra/data/mntlabData

   Number   Integrated Region     Integral
     1      8.375      8.291        17.66710
     2      8.272      8.223         8.20084
     3      8.223      8.157        16.40154
     4      7.995      7.883        35.68846
     5      7.659      7.360        42.87200
     6      7.360      7.232        33.65167
     7      7.232      7.182        21.51457
     8      7.185      7.117        23.02320
     9      7.120      7.098         6.54452
    10      7.098      7.039        19.12158
    11      6.815      6.721        31.80432
    12      5.135      5.103       159.20387
    13      5.079      5.062        13.82322
    14      4.551      4.501       156.19063
    15      4.383      4.338         3.80142
    16      4.206      4.109        65.09101
    17      4.037      4.027         7.13072
    18      4.027      3.974       103.41701
    19      3.970      3.951        21.98344
    20      3.585      3.570        84.80256
    21      3.571      3.509       474.27508
    22      3.509      3.488        49.55856
    23      3.488      3.469        31.90462
    24      3.467      3.452        23.29115
    25      3.452      3.440        57.74118
    26      3.441      3.421        99.48885
    27      3.421      3.401        80.18974
    28      3.401      3.384        68.82368
    29      3.384      3.371       124.99500
    30      3.370      3.362        51.25304
    31      3.362      3.353       104.88296
    32      3.256      3.238        26.52350
    33      3.238      3.212        39.05050
    34      3.041      3.028        11.19136
    35      2.939      2.930        20.61207
    36      2.924      2.917        12.86577
    37      2.845      2.784        47.68578
    38      2.784      2.751        13.58887
    39      2.746      2.715        11.25632
    40      2.711      2.686        80.97986
    41      2.604      2.556        46.94132
    42      2.545      2.508        17.14537
    43      2.462      2.405        21.59211
    44      2.364      2.353        16.88115
    45      2.339      2.330        27.17840
    46      2.264      2.251        17.01701
    47      2.118      2.104        47.07687
    48      1.938      1.907       325.61995
    49      1.813      1.799        19.13916
    50      1.706      1.528       165.62767
    51      1.528      1.407       191.01827
    52      1.379      1.339       135.21700
    53      1.232      1.198       653.29377
    54      1.093      1.059       515.67323
    55      1.060      1.041        90.11307
    56      0.936      0.908        63.36677
    57      0.908      0.882        35.22465
    58      0.882      0.858        69.48798
    59      0.858      0.838        68.19688
    60      0.838      0.826        42.49783
    61      0.826      0.814        38.57573
    62      0.814      0.801        32.93705
    63      0.052      0.035         4.00000
