   Current data set:
   NAME =	vvp_sport01122015	EXPNO =	1185	PROCNO = 1
   DU   =	D:/spectra/data/mntlabData

   Number   Integrated Region     Integral
     1      8.350      8.320        12.91478
     2      8.261      8.167         1.34177
     3      7.995      7.880        64.77976
     4      7.345      7.225        44.18234
     5      7.227      7.163        35.66405
     6      7.163      7.123        25.40103
     7      7.123      7.096        10.52532
     8      7.096      7.050        29.61675
     9      6.830      6.704        59.05784
    10      5.139      5.101       378.90704
    11      4.563      4.510       388.32343
    12      4.418      4.396        -0.01237
    13      4.258      4.083       180.21947
    14      4.054      3.966       473.83893
    15      3.966      3.931        61.41566
    16      3.821      3.808        69.08494
    17      3.567      3.508       984.33264
    18      3.504      3.488        74.32197
    19      3.487      3.466        71.13519
    20      3.466      3.453        43.17715
    21      3.453      3.437       123.33857
    22      3.437      3.418       232.62518
    23      3.418      3.398       189.10775
    24      3.398      3.386       125.01416
    25      3.252      3.237        40.44991
    26      3.237      3.223        46.61849
    27      3.043      3.020       165.33862
    28      2.936      2.929        33.35825
    29      2.920      2.913        77.51421
    30      2.866      2.847        25.52259
    31      2.833      2.811        42.14124
    32      2.811      2.799        17.58949
    33      2.776      2.751        17.64155
    34      2.741      2.714        15.65774
    35      2.708      2.684       109.28230
    36      2.602      2.554        94.27968
    37      2.547      2.488        45.91674
    38      2.460      2.400        47.66976
    39      2.264      2.244        75.78189
    40      2.165      2.155        32.99831
    41      2.122      2.093       142.60106
    42      1.938      1.901       665.20344
    43      1.811      1.799        36.81142
    44      1.654      1.510       302.27119
    45      1.510      1.392       336.97684
    46      1.392      1.328       506.95805
    47      1.313      1.267       127.83188
    48      1.233      1.186      2400.86062
    49      1.093      1.084        87.78913
    50      1.084      1.056      1005.14139
    51      1.056      1.041       153.75053
    52      1.036      1.010        20.39072
    53      0.965      0.941        20.35577
    54      0.941      0.934         5.44251
    55      0.934      0.906       114.45422
    56      0.906      0.881        55.66795
    57      0.881      0.856       131.31052
    58      0.856      0.836       123.91865
    59      0.835      0.824        78.54549
    60      0.822      0.813        60.40949
    61      0.810      0.796        87.72078
    62      0.047      0.037         4.00000
