   Current data set:
   NAME =	vvp_sport01122015	EXPNO =	1157	PROCNO = 1
   DU   =	D:/spectra/data/mntlabData

   Number   Integrated Region     Integral
     1      8.357      8.321         4.99266
     2      8.013      7.866        30.28278
     3      7.690      7.408        31.70495
     4      7.346      7.235        26.23380
     5      7.235      7.187        16.99084
     6      7.187      7.093        28.10815
     7      7.095      7.049        13.55333
     8      6.816      6.729        32.92914
     9      5.146      5.098       443.50388
    10      4.558      4.498      1039.64053
    11      4.195      4.107       260.29381
    12      4.035      3.977       164.62180
    13      3.971      3.945        51.93348
    14      3.571      3.509       396.81035
    15      3.509      3.489        45.68434
    16      3.489      3.467        34.13971
    17      3.468      3.457        16.32676
    18      3.254      3.238        21.52289
    19      3.238      3.222        22.87603
    20      3.048      3.022        17.22975
    21      2.942      2.932        16.14118
    22      2.921      2.902        25.48995
    23      2.729      2.680        76.04174
    24      2.605      2.553        35.41685
    25      2.467      2.398        21.29097
    26      1.946      1.904       266.97561
    27      1.816      1.804        12.10740
    28      1.683      1.526       114.95874
    29      1.526      1.395       141.99726
    30      1.395      1.309       117.93295
    31      1.319      1.270        41.09482
    32      1.236      1.197       457.43231
    33      1.090      1.039       485.31260
    34      0.945      0.906        47.23032
    35      0.907      0.891        12.42288
    36      0.891      0.859        59.11574
    37      0.859      0.812       102.65846
    38      0.058      0.023         4.00000
