   Current data set:
   NAME =	vvp_sport01122015	EXPNO =	1107	PROCNO = 1
   DU   =	D:/spectra/data/mntlabData

   Number   Integrated Region     Integral
     1      8.353      8.323         6.17361
     2      8.253      8.193         4.04500
     3      7.995      7.874        34.33240
     4      7.349      7.175        49.99302
     5      7.175      7.103        24.05161
     6      7.103      7.040        12.79163
     7      6.834      6.720        28.25641
     8      5.141      5.103       140.59415
     9      5.085      5.058        12.60893
    10      4.555      4.505       231.66150
    11      4.191      4.117        48.46987
    12      4.043      4.030         7.72511
    13      4.030      3.975       100.34534
    14      3.975      3.958        14.58071
    15      3.573      3.561        66.68571
    16      3.573      3.512       500.27957
    17      3.561      3.512       433.59387
    18      3.510      3.493        31.45814
    19      3.493      3.470        31.57958
    20      3.470      3.458        17.16556
    21      3.259      3.234        32.93559
    22      3.242      3.212        35.89483
    23      3.177      3.157       126.58291
    24      3.051      3.027        17.09902
    25      2.941      2.933        14.61910
    26      2.925      2.918         9.96197
    27      2.714      2.685        66.11313
    28      2.604      2.554        41.50995
    29      2.466      2.405        24.87126
    30      2.264      2.250        19.20267
    31      2.172      2.159        18.68180
    32      2.123      2.108        30.85023
    33      1.942      1.904       245.91787
    34      1.819      1.800        30.05670
    35      1.685      1.514       142.57123
    36      1.508      1.417        76.01635
    37      1.389      1.336        84.37932
    38      1.231      1.198       399.03823
    39      1.098      1.060       551.33979
    40      1.060      1.045        96.75039
    41      0.938      0.909        49.04579
    42      0.909      0.885        22.09726
    43      0.885      0.860        56.36967
    44      0.860      0.840        48.58198
    45      0.840      0.828        30.82479
    46      0.828      0.818        23.59401
    47      0.052      0.041         4.00000
