   Current data set:
   NAME =	vvp_sport01122015	EXPNO =	1159	PROCNO = 1
   DU   =	D:/spectra/data/mntlabData

   Number   Integrated Region     Integral
     1      8.388      8.294        14.38399
     2      7.987      7.831        28.36650
     3      7.658      7.363        33.61977
     4      7.357      7.182        40.40801
     5      7.179      7.104        20.61383
     6      7.104      7.034        16.72593
     7      6.847      6.702        35.66978
     8      5.139      5.095       228.56493
     9      4.555      4.506       443.18336
    10      4.420      4.396        64.96275
    11      4.201      4.166        45.67624
    12      4.197      4.115       103.36022
    13      4.138      4.110        28.61048
    14      4.066      4.043        22.63586
    15      4.043      4.031        12.93488
    16      4.031      3.975       101.04519
    17      3.975      3.954        20.58396
    18      3.572      3.510       392.72545
    19      3.510      3.490        41.31870
    20      3.490      3.471        25.28787
    21      3.471      3.457        16.17327
    22      3.256      3.239        26.64890
    23      3.239      3.223        29.74810
    24      3.046      3.025        11.56576
    25      2.941      2.932        15.30316
    26      2.924      2.905        22.45431
    27      2.723      2.681        55.97042
    28      2.606      2.557        30.48873
    29      2.534      2.482        13.92661
    30      2.462      2.405        16.11766
    31      2.222      2.209        16.15796
    32      2.173      2.153        27.87604
    33      2.124      2.100        31.82537
    34      1.944      1.905       199.92989
    35      1.904      1.903         5.93769
    36      1.819      1.801        20.31039
    37      1.674      1.531       107.73922
    38      1.514      1.403        66.30747
    39      1.386      1.342        57.99973
    40      1.325      1.274        38.39443
    41      1.284      1.267        14.79650
    42      1.237      1.186       390.55548
    43      1.088      1.058       406.69513
    44      1.058      1.042        65.44108
    45      0.969      0.943         7.31305
    46      0.943      0.908        56.58047
    47      0.907      0.892        13.26992
    48      0.893      0.860        75.19233
    49      0.860      0.853        15.97806
    50      0.853      0.826        74.21282
    51      0.826      0.814        24.18278
    52      0.814      0.798        28.53028
    53      0.063      0.024         4.00000
