   Current data set:
   NAME =	vvp_sport01122015	EXPNO =	1113	PROCNO = 1
   DU   =	D:/spectra/data/mntlabData

   Number   Integrated Region     Integral
     1      8.351      8.330         7.25143
     2      7.989      7.871        59.41958
     3      7.356      7.282        22.83333
     4      7.282      7.234        21.03902
     5      7.234      7.176        35.79193
     6      7.176      7.111        30.80101
     7      7.106      7.043        32.04548
     8      6.849      6.705        49.93832
     9      5.745      5.624        29.10359
    10      5.146      5.104       217.76056
    11      5.107      5.051        41.53812
    12      4.564      4.483       256.33651
    13      4.421      4.393         8.84210
    14      4.276      4.113       159.31226
    15      4.063      3.976       214.24802
    16      3.976      3.929        56.58477
    17      3.051      3.025        32.16728
    18      2.941      2.927        47.11773
    19      2.927      2.919        26.57156
    20      2.716      2.689        97.55584
    21      2.603      2.589        23.02171
    22      2.571      2.559        17.07641
    23      2.453      2.435        12.15888
    24      2.423      2.400        12.14927
    25      2.266      2.249        38.52158
    26      2.175      2.160        29.13979
    27      2.147      2.078       157.00975
    28      2.122      2.108        49.51073
    29      1.956      1.886       755.75924
    30      1.825      1.788        79.63022
    31      1.694      1.512       246.53709
    32      1.515      1.402       182.69629
    33      1.402      1.332       207.17938
    34      1.241      1.186      1175.56513
    35      1.104      1.025       787.70271
    36      1.060      1.048       119.43867
    37      0.941      0.912        89.77213
    38      0.911      0.895        32.10835
    39      0.894      0.861       108.97255
    40      0.861      0.841        85.73724
    41      0.841      0.814       129.24941
    42      0.814      0.799        54.40361
    43      0.051      0.041         4.00000
