   Current data set:
   NAME =	vvp_sport01122015	EXPNO =	1119	PROCNO = 1
   DU   =	D:/spectra/data/mntlabData

   Number   Integrated Region     Integral
     1      8.357      8.319         2.02657
     2      8.006      7.861         9.04513
     3      7.346      7.233         6.90171
     4      7.233      7.186         4.42478
     5      7.186      7.102         5.81400
     6      7.102      7.046         4.53525
     7      6.834      6.720         7.75107
     8      5.141      5.099        34.57630
     9      4.554      4.505        48.78861
    10      4.418      4.396         2.05895
    11      4.192      4.107        11.97980
    12      4.042      3.972        53.91984
    13      3.972      3.955         3.26726
    14      3.572      3.513       109.05834
    15      3.510      3.490         8.81869
    16      3.490      3.481         3.12978
    17      3.481      3.472         2.97717
    18      3.472      3.458         4.99478
    19      3.051      3.027         5.14431
    20      2.943      2.933         4.26683
    21      2.926      2.918         3.23212
    22      2.849      2.792        10.86878
    23      2.717      2.684        16.37295
    24      2.607      2.555        13.14095
    25      2.473      2.404         8.31912
    26      2.269      2.247         7.90946
    27      2.173      2.148         7.24536
    28      2.148      2.070        19.24838
    29      1.955      1.888        82.48721
    30      1.825      1.794         8.35624
    31      1.690      1.527        29.21094
    32      1.527      1.397        20.96584
    33      1.397      1.325        35.61981
    34      1.384      1.343        31.63414
    35      1.242      1.195       202.22097
    36      1.091      1.060       111.91140
    37      1.060      1.042        27.19859
    38      1.043      1.013         9.36822
    39      0.992      0.969         4.40068
    40      0.969      0.944         5.43079
    41      0.944      0.910        13.05385
    42      0.909      0.893         3.80014
    43      0.893      0.861        15.16499
    44      0.862      0.841        10.63489
    45      0.841      0.828         7.56133
    46      0.828      0.814         7.00862
    47      0.814      0.795         8.70453
    48      0.065      0.017         4.00000
