   Current data set:
   NAME =	vvp_sport01122015	EXPNO =	1177	PROCNO = 1
   DU   =	D:/spectra/data/mntlabData

   Number   Integrated Region     Integral
     1      8.422      8.280         7.79423
     2      8.253      8.114       -11.09773
     3      7.996      7.830        25.94423
     4      7.360      7.170        23.27544
     5      7.174      7.123         9.87783
     6      7.123      7.095         3.55330
     7      7.095      7.048         8.46041
     8      6.858      6.708        16.87661
     9      5.134      5.103       151.56087
    10      4.557      4.506       188.42623
    11      4.373      4.339         7.63649
    12      4.210      4.109        75.17372
    13      4.038      4.027         7.71332
    14      4.027      3.975       137.60097
    15      3.975      3.953        24.94013
    16      3.823      3.811        14.11238
    17      3.573      3.514       485.06863
    18      3.509      3.491        38.10798
    19      3.491      3.471        30.85764
    20      3.471      3.455        23.17953
    21      3.454      3.439        56.78414
    22      3.439      3.421        95.15387
    23      3.421      3.403        76.21735
    24      3.402      3.385        65.31506
    25      3.257      3.239        23.42665
    26      3.239      3.219        28.56718
    27      3.044      3.025        12.92587
    28      2.940      2.931        18.81690
    29      2.923      2.918        10.47957
    30      2.844      2.789        41.70735
    31      2.780      2.751         9.56529
    32      2.719      2.690        80.84355
    33      2.605      2.559        43.62646
    34      2.550      2.507        17.00710
    35      2.466      2.408        13.38225
    36      2.408      2.384         4.91517
    37      2.384      2.368         8.58980
    38      2.340      2.330        25.89643
    39      2.263      2.250        19.51771
    40      2.167      2.158        14.11143
    41      2.122      2.110        59.83593
    42      1.944      1.900       446.61023
    43      1.816      1.799        22.39793
    44      1.680      1.537       136.36318
    45      1.521      1.389       247.84404
    46      1.389      1.337       145.25043
    47      1.229      1.197       901.71611
    48      1.087      1.059       506.83606
    49      1.059      1.046        93.19649
    50      0.937      0.906        68.57577
    51      0.906      0.884        33.88477
    52      0.884      0.860        70.39621
    53      0.860      0.840        68.11636
    54      0.840      0.827        48.28381
    55      0.827      0.816        39.08218
    56      0.816      0.802        46.43312
    57      0.057      0.033         4.00000
