   Current data set:
   NAME =	vvp_sport01122015	EXPNO =	1125	PROCNO = 1
   DU   =	D:/spectra/data/mntlabData

   Number   Integrated Region     Integral
     1      8.346      8.322         8.91227
     2      8.253      8.166        25.80999
     3      7.996      7.867        54.76275
     4      7.358      7.229        52.29749
     5      7.229      7.176        38.17657
     6      7.174      7.126        31.33900
     7      7.123      7.094        13.24032
     8      7.094      7.038        33.44143
     9      6.843      6.700        59.42638
    10      5.142      5.103       271.74973
    11      4.553      4.502       366.99416
    12      4.420      4.394        15.15435
    13      4.296      4.104       217.28251
    14      4.038      4.029        17.11618
    15      4.029      3.975       384.75619
    16      3.969      3.954        33.83831
    17      3.824      3.810        32.93318
    18      3.570      3.512       915.08039
    19      3.509      3.491        72.81739
    20      3.489      3.470        56.11659
    21      3.470      3.456        39.90608
    22      3.456      3.451        14.07549
    23      3.451      3.439        87.69078
    24      3.439      3.421       174.72495
    25      3.421      3.402       137.38656
    26      3.402      3.390        98.25551
    27      3.255      3.222       201.07824
    28      3.047      3.025        29.72551
    29      2.940      2.931        33.22955
    30      2.924      2.917        23.38009
    31      2.815      2.806        19.13259
    32      2.716      2.688       158.90388
    33      2.603      2.553        96.62586
    34      2.547      2.502        37.78040
    35      2.462      2.406        58.29684
    36      2.263      2.248        61.08102
    37      2.166      2.159        23.97538
    38      2.120      2.105        81.27698
    39      2.024      2.016        47.29159
    40      1.941      1.902       616.47227
    41      1.684      1.521       287.04845
    42      1.520      1.409       285.85609
    43      1.389      1.335       315.45973
    44      1.234      1.196      1761.56721
    45      1.097      1.087        82.35724
    46      1.087      1.059       932.15322
    47      1.059      1.042       175.14029
    48      0.970      0.958        17.75710
    49      0.958      0.952         6.02452
    50      0.952      0.945        11.58490
    51      0.944      0.937         7.22197
    52      0.937      0.908       125.90654
    53      0.908      0.884        59.61081
    54      0.884      0.859       141.28619
    55      0.859      0.839       120.96584
    56      0.839      0.826        84.10000
    57      0.826      0.814        65.81409
    58      0.814      0.797        79.35662
    59      0.049      0.042         4.00000
