   Current data set:
   NAME =	vvp_sport01122015	EXPNO =	1149	PROCNO = 1
   DU   =	D:/spectra/data/mntlabData

   Number   Integrated Region     Integral
     1      8.417      8.301        20.96718
     2      8.007      7.850        35.86499
     3      7.658      7.371        31.33283
     4      7.371      7.099        82.85448
     5      7.099      7.023        18.15691
     6      6.855      6.685        39.45992
     7      5.145      5.098       177.21548
     8      5.087      5.051        12.71716
     9      4.551      4.499       218.32156
    10      4.331      4.068       129.74278
    11      4.037      3.970       116.13637
    12      3.971      3.953        17.88675
    13      3.953      3.937        10.63393
    14      3.825      3.808        22.55441
    15      3.569      3.512       601.60879
    16      3.512      3.490        66.38024
    17      3.490      3.470        40.85922
    18      3.470      3.456        22.40978
    19      3.456      3.440        60.90375
    20      3.440      3.421       109.79416
    21      3.419      3.401        88.72845
    22      3.401      3.384        76.74900
    23      3.256      3.239        35.86243
    24      3.239      3.221        41.00162
    25      3.045      3.023        85.47804
    26      3.044      3.034        44.73370
    27      2.940      2.931        24.23257
    28      2.923      2.918        12.55916
    29      2.783      2.751        14.87551
    30      2.726      2.679        97.65270
    31      2.613      2.556        62.33726
    32      2.551      2.492        27.25101
    33      2.472      2.406        26.35781
    34      2.386      2.367        14.08307
    35      2.265      2.247        23.24285
    36      2.138      2.102        56.15029
    37      1.948      1.876       470.12921
    38      1.817      1.793        40.07350
    39      1.698      1.524       209.87072
    40      1.508      1.408        94.59903
    41      1.393      1.328       130.65621
    42      1.321      1.264        68.96988
    43      1.264      1.192       590.20563
    44      1.100      1.038       839.01553
    45      1.059      1.044       100.56258
    46      0.944      0.905        67.66805
    47      0.905      0.885        21.98469
    48      0.885      0.872        41.35983
    49      0.872      0.859        40.58433
    50      0.859      0.839        69.37457
    51      0.838      0.827        40.54521
    52      0.826      0.811        43.89765
    53      0.812      0.795        44.45641
    54      0.053      0.034         4.00000
