   Current data set:
   NAME =	vvp_sport01122015	EXPNO =	1103	PROCNO = 1
   DU   =	D:/spectra/data/mntlabData

   Number   Integrated Region     Integral
     1      8.358      8.315         4.59358
     2      7.972      7.889        28.19792
     3      7.373      7.175        34.76793
     4      7.175      7.128        14.48140
     5      7.128      7.101         5.99698
     6      7.101      7.044        10.07011
     7      6.831      6.734        20.46618
     8      5.140      5.104       138.24837
     9      4.551      4.503       193.29654
    10      4.198      4.118        55.88611
    11      4.041      4.031         6.59089
    12      4.031      3.976       111.98663
    13      3.972      3.955        17.81695
    14      3.573      3.514       501.90021
    15      3.510      3.491        35.55173
    16      3.491      3.471        31.03573
    17      3.471      3.458        19.11705
    18      3.458      3.442        54.08595
    19      3.442      3.422        92.22536
    20      3.422      3.403        71.87194
    21      3.403      3.387        57.06824
    22      3.057      3.024        65.01986
    23      2.942      2.933        21.71689
    24      2.926      2.918        15.97324
    25      2.719      2.684        65.29443
    26      2.607      2.560        37.01176
    27      2.465      2.406        21.91604
    28      2.265      2.250        19.09995
    29      2.175      2.158        22.69999
    30      2.123      2.105        32.93147
    31      1.944      1.904       309.65948
    32      1.817      1.802        25.49256
    33      1.680      1.527       147.67448
    34      1.527      1.409        94.99167
    35      1.395      1.340        85.47308
    36      1.246      1.190       560.15646
    37      1.106      1.037       647.81048
    38      1.061      1.046       107.85451
    39      0.945      0.911        63.22234
    40      0.907      0.886        27.68414
    41      0.885      0.862        63.29006
    42      0.862      0.836        73.30785
    43      0.836      0.819        48.37976
    44      0.052      0.041         4.00000
