   Current data set:
   NAME =	vvp_sport01122015	EXPNO =	1111	PROCNO = 1
   DU   =	D:/spectra/data/mntlabData

   Number   Integrated Region     Integral
     1      8.423      8.344        18.42769
     2      8.344      8.320         7.95407
     3      8.241      8.181        22.12798
     4      7.995      7.887        44.16178
     5      7.356      7.231        44.55672
     6      7.231      7.181        32.34010
     7      7.181      7.098        42.73423
     8      7.098      7.044        22.98996
     9      6.847      6.711        49.35429
    10      5.137      5.104       220.55604
    11      5.081      5.060        12.18805
    12      4.553      4.508       314.86804
    13      4.170      4.127        58.47389
    14      4.043      4.030        14.09152
    15      4.030      3.975       182.06774
    16      3.973      3.955        26.63143
    17      3.955      3.938        16.20499
    18      3.825      3.811        28.27348
    19      3.573      3.513       774.39097
    20      3.509      3.492        56.80105
    21      3.489      3.471        44.50403
    22      3.471      3.458        24.26465
    23      3.453      3.440        80.61244
    24      3.440      3.422       141.73703
    25      3.421      3.403       115.02621
    26      3.403      3.386        95.07735
    27      3.045      3.025       173.79459
    28      2.941      2.933        31.25680
    29      2.925      2.918        20.25477
    30      2.712      2.692        74.55697
    31      2.606      2.553        76.81571
    32      2.550      2.508        28.43370
    33      2.467      2.409        31.94976
    34      2.267      2.249        33.81997
    35      2.168      2.159        21.75411
    36      2.121      2.108        31.43868
    37      1.953      1.892       533.57787
    38      1.822      1.800        54.12526
    39      1.696      1.527       263.40581
    40      1.527      1.415       125.43853
    41      1.415      1.321       215.99435
    42      1.236      1.195       759.88984
    43      1.088      1.060       769.29521
    44      1.060      1.046       152.77551
    45      0.939      0.912       100.03587
    46      0.906      0.885        43.45233
    47      0.885      0.861       116.64491
    48      0.861      0.852        33.35423
    49      0.852      0.842        57.39766
    50      0.840      0.828        59.06687
    51      0.828      0.819        41.73390
    52      0.814      0.798        58.71851
    53      0.050      0.041         4.00000
