   Current data set:
   NAME =	vvp_sport01122015	EXPNO =	1175	PROCNO = 1
   DU   =	D:/spectra/data/mntlabData

   Number   Integrated Region     Integral
     1      8.349      8.328         7.06675
     2      8.248      8.186        22.21289
     3      7.985      7.875        44.69467
     4      7.653      7.352        50.60545
     5      7.352      7.234        47.99076
     6      7.234      7.196        31.20368
     7      7.179      7.127        28.20719
     8      7.127      7.106         9.76770
     9      7.106      7.047        37.51897
    10      6.944      6.860        11.50786
    11      6.843      6.708        60.23623
    12      5.805      5.590        39.22606
    13      5.322      5.279        32.60762
    14      5.142      5.100       339.86640
    15      4.562      4.500       454.79932
    16      4.500      4.476        16.91944
    17      4.427      4.392        13.33898
    18      4.389      4.341        12.65456
    19      4.215      4.119       119.26035
    20      4.119      4.086        22.65532
    21      4.041      4.029        14.63805
    22      4.029      3.973       295.15405
    23      3.972      3.958        27.16252
    24      3.825      3.810        38.77740
    25      3.572      3.512       731.45127
    26      3.513      3.507        22.91944
    27      3.507      3.492        53.13621
    28      3.492      3.488        10.07716
    29      3.488      3.469        55.02595
    30      3.469      3.455        44.09597
    31      3.456      3.439        91.52155
    32      3.439      3.421       201.55911
    33      3.421      3.402       158.77002
    34      3.402      3.386       129.84000
    35      3.384      3.372       250.56898
    36      3.363      3.356       195.61883
    37      3.275      3.258        83.41005
    38      3.251      3.240        30.81082
    39      3.240      3.226        64.21813
    40      3.044      3.021        90.70485
    41      3.020      3.005        12.11200
    42      2.940      2.931        30.35957
    43      2.924      2.917        29.93894
    44      2.870      2.850        19.47007
    45      2.837      2.814        31.95380
    46      2.814      2.806        11.46580
    47      2.779      2.751        16.48388
    48      2.712      2.689        90.15772
    49      2.604      2.556        80.52044
    50      2.552      2.495        39.36569
    51      2.468      2.405        46.06617
    52      2.263      2.249        36.15783
    53      2.166      2.158        23.51909
    54      2.122      2.099        95.03309
    55      1.945      1.896       569.97992
    56      1.814      1.802        25.44057
    57      1.714      1.521       252.36786
    58      1.521      1.403       264.79260
    59      1.393      1.328       299.86028
    60      1.234      1.192      1674.94606
    61      1.103      1.086       134.93269
    62      1.086      1.059       697.97054
    63      1.059      1.043       127.95938
    64      1.043      1.011        32.01165
    65      0.970      0.944        23.79258
    66      0.944      0.908        89.29465
    67      0.908      0.884        41.04569
    68      0.884      0.860        99.43442
    69      0.860      0.840        98.16209
    70      0.841      0.827        75.85845
    71      0.827      0.815        57.42578
    72      0.815      0.798        86.12482
    73      0.782      0.752       610.64648
    74      0.049      0.040         4.00000
