   Current data set:
   NAME =	vvp_sport01122015	EXPNO =	1145	PROCNO = 1
   DU   =	D:/spectra/data/mntlabData

   Number   Integrated Region     Integral
     1      8.360      8.309         7.25925
     2      8.220      8.152         7.43707
     3      7.991      7.872        23.39747
     4      7.614      7.369        17.03816
     5      7.362      7.261        12.15119
     6      7.238      7.229         2.02933
     7      7.229      7.173        14.73087
     8      7.173      7.117        12.30099
     9      7.115      7.091         4.28620
    10      7.091      7.045        11.60646
    11      6.842      6.683        25.16068
    12      5.139      5.104       112.18585
    13      5.079      5.058         4.36749
    14      4.553      4.496       183.02786
    15      4.414      4.394         7.03265
    16      4.249      4.113        70.26340
    17      4.089      4.033        20.65241
    18      4.036      4.027         6.30345
    19      4.027      3.969        88.38804
    20      3.969      3.952        13.45275
    21      3.955      3.932        10.15494
    22      3.586      3.571        66.20578
    23      3.571      3.560        48.59369
    24      3.560      3.554        23.26235
    25      3.554      3.512       341.27608
    26      3.507      3.490        33.92768
    27      3.490      3.468        31.31055
    28      3.468      3.455        17.13137
    29      3.455      3.440        45.07599
    30      3.440      3.419        77.58666
    31      3.419      3.401        60.01590
    32      3.401      3.384        54.31515
    33      3.282      3.273        27.00019
    34      3.273      3.262        31.02120
    35      3.249      3.239        20.69311
    36      3.239      3.223        34.46855
    37      3.222      3.204        16.46108
    38      3.188      3.174        11.22894
    39      3.171      3.163        13.92759
    40      3.163      3.156        14.24488
    41      3.043      3.024        12.23575
    42      2.938      2.930        17.15507
    43      2.923      2.916         7.77332
    44      2.839      2.827        10.05996
    45      2.827      2.806        18.76782
    46      2.792      2.781         4.53079
    47      2.781      2.747        11.69987
    48      2.713      2.682        76.55746
    49      2.616      2.589        18.92535
    50      2.571      2.551        12.51687
    51      2.545      2.506        15.10706
    52      2.459      2.410        15.77067
    53      2.456      2.416        13.38855
    54      2.410      2.406         0.85177
    55      2.401      2.385         4.85078
    56      2.384      2.367         8.93449
    57      2.367      2.268       173.13045
    58      2.261      2.247        15.23216
    59      2.184      2.172        10.39243
    60      2.169      2.157        13.91379
    61      2.123      2.103        25.14037
    62      2.085      2.068         5.43998
    63      2.068      2.052         5.72860
    64      2.023      2.017        16.16158
    65      1.941      1.903       222.98095
    66      1.812      1.798        17.40226
    67      1.676      1.522       125.97089
    68      1.522      1.415        67.34576
    69      1.381      1.343        82.53197
    70      1.320      1.270        41.30809
    71      1.236      1.196       364.30601
    72      1.094      1.087        25.55830
    73      1.087      1.060       424.52024
    74      1.060      1.042        76.69197
    75      1.039      1.011         9.83645
    76      0.936      0.908        46.36572
    77      0.905      0.882        22.52664
    78      0.882      0.858        56.76390
    79      0.858      0.849        17.36857
    80      0.849      0.836        39.06551
    81      0.838      0.825        31.48723
    82      0.825      0.816        21.56835
    83      0.810      0.800        20.23650
    84      0.052      0.030         4.00000
