   Current data set:
   NAME =	vvp_sport01122015	EXPNO =	1165	PROCNO = 1
   DU   =	D:/spectra/data/mntlabData

   Number   Integrated Region     Integral
     1      8.354      8.303         5.88899
     2      8.259      8.171       -16.60020
     3      7.981      7.869        26.23208
     4      7.358      7.233        17.64531
     5      7.233      7.182        16.75996
     6      7.158      7.128        14.04033
     7      7.131      7.104         6.91270
     8      7.104      7.036         8.48192
     9      6.820      6.705        20.87325
    10      5.145      5.097       173.74878
    11      5.081      5.060         3.45706
    12      4.554      4.509       296.52231
    13      4.418      4.406         4.69137
    14      4.208      4.114        82.70078
    15      4.097      4.046        30.53649
    16      4.046      4.029        15.21720
    17      4.029      3.978       130.38950
    18      3.978      3.957        21.25339
    19      3.572      3.512       577.71638
    20      3.512      3.491        41.48467
    21      3.490      3.471        29.54781
    22      3.471      3.460        15.70405
    23      3.456      3.442        66.26225
    24      3.442      3.423       112.74098
    25      3.423      3.403        89.42956
    26      3.403      3.388        69.55058
    27      3.253      3.239        24.10445
    28      3.239      3.224        25.51123
    29      3.179      3.165        62.54305
    30      3.165      3.156        22.19274
    31      3.045      3.028        15.41817
    32      2.941      2.932        20.16355
    33      2.926      2.918        12.31827
    34      2.781      2.748        13.33290
    35      2.748      2.720         9.22958
    36      2.718      2.681        80.37496
    37      2.606      2.554        55.10803
    38      2.545      2.496        20.60387
    39      2.465      2.406        31.13199
    40      2.265      2.248        22.26126
    41      2.167      2.159        17.08952
    42      2.119      2.105        40.27126
    43      1.942      1.903       303.20031
    44      1.814      1.802        22.26942
    45      1.689      1.507       176.11708
    46      1.507      1.410        97.42417
    47      1.393      1.346       106.31408
    48      1.328      1.272        55.72402
    49      1.235      1.195       562.26074
    50      1.095      1.086        40.76777
    51      1.086      1.058       618.45219
    52      1.058      1.044       106.28237
    53      0.946      0.938         4.15267
    54      0.938      0.924        25.68426
    55      0.924      0.909        28.29794
    56      0.908      0.885        25.58091
    57      0.885      0.861        62.72241
    58      0.861      0.840        58.41068
    59      0.841      0.829        37.99323
    60      0.829      0.819        26.50752
    61      0.812      0.797        34.49969
    62      0.051      0.038         4.00000
