   Current data set:
   NAME =	vvp_sport01122015	EXPNO =	1151	PROCNO = 1
   DU   =	D:/spectra/data/mntlabData

   Number   Integrated Region     Integral
     1      8.425      8.353         9.07256
     2      8.350      8.317         5.45740
     3      8.239      8.173        11.64768
     4      8.012      7.829        28.38172
     5      7.350      7.185        35.00439
     6      7.167      7.125        11.55031
     7      7.125      7.101         4.67995
     8      7.101      7.044        12.65136
     9      6.963      6.856         7.85684
    10      6.820      6.739        18.68026
    11      5.138      5.103        97.55228
    12      4.556      4.504       128.81446
    13      4.416      4.412         1.46828
    14      4.414      4.396         6.52773
    15      4.409      4.397         4.41291
    16      4.196      4.106        61.24975
    17      4.040      4.028         6.43655
    18      4.028      3.976        83.51411
    19      3.976      3.953        20.05440
    20      3.570      3.512       345.12311
    21      3.508      3.489        30.54426
    22      3.489      3.469        24.73776
    23      3.469      3.456        13.66572
    24      3.456      3.439        40.19557
    25      3.439      3.420        63.08644
    26      3.420      3.401        51.92198
    27      3.401      3.384        43.33789
    28      3.276      3.258        33.08534
    29      3.251      3.239        17.18036
    30      3.239      3.225        26.97286
    31      3.040      3.028         8.64068
    32      2.938      2.931        12.02847
    33      2.924      2.917         7.50342
    34      2.834      2.817        12.65538
    35      2.814      2.807         5.06908
    36      2.778      2.751         9.09579
    37      2.743      2.719         7.79785
    38      2.717      2.680        62.91530
    39      2.602      2.555        31.53062
    40      2.545      2.501        14.78134
    41      2.463      2.408        16.79346
    42      2.264      2.248        17.47896
    43      2.159      2.075       144.53443
    44      2.115      2.109        16.27626
    45      2.112      2.107        11.79594
    46      1.940      1.902       257.21728
    47      1.819      1.800        23.08248
    48      1.653      1.532        93.12169
    49      1.514      1.390       161.98854
    50      1.382      1.341        74.57566
    51      1.325      1.268        44.72889
    52      1.229      1.199       502.01520
    53      1.087      1.058       377.90521
    54      1.059      1.045        69.20982
    55      0.943      0.936         3.30286
    56      0.937      0.908        40.35070
    57      0.908      0.883        24.63908
    58      0.883      0.859        45.63688
    59      0.859      0.849        15.61395
    60      0.849      0.839        29.42069
    61      0.839      0.826        31.00866
    62      0.826      0.816        22.13809
    63      0.811      0.803        16.88500
    64      0.050      0.037         4.00000
