   Current data set:
   NAME =	vvp_sport01122015	EXPNO =	1115	PROCNO = 1
   DU   =	D:/spectra/data/mntlabData

   Number   Integrated Region     Integral
     1      8.351      8.328         7.38093
     2      8.251      8.176         6.45448
     3      8.000      7.885        47.36327
     4      7.343      7.234        31.22766
     5      7.234      7.183        26.77516
     6      7.174      7.126        23.21639
     7      7.126      7.098         9.16501
     8      7.098      7.047        14.88922
     9      6.836      6.705        35.47668
    10      5.143      5.101       253.23576
    11      5.080      5.061        12.15474
    12      4.556      4.502       318.67885
    13      4.424      4.394        12.53578
    14      4.200      4.107       106.13758
    15      4.041      4.030        13.69231
    16      4.030      3.970       184.03774
    17      3.970      3.954        27.85757
    18      3.573      3.513       835.87587
    19      3.509      3.489        58.92116
    20      3.489      3.481        19.77836
    21      3.481      3.471        21.79160
    22      3.471      3.457        28.72395
    23      3.453      3.440        77.95066
    24      3.440      3.422       151.77192
    25      3.422      3.403       123.21549
    26      3.403      3.387        99.55640
    27      3.041      3.029        16.73067
    28      2.964      2.956         9.22141
    29      2.941      2.932        29.84757
    30      2.925      2.918        18.51139
    31      2.720      2.691        92.31169
    32      2.606      2.557        69.14965
    33      2.464      2.406        34.41836
    34      2.264      2.249        32.12428
    35      2.168      2.158        27.16741
    36      2.124      2.103        89.76145
    37      1.945      1.901       544.39055
    38      1.818      1.803        41.60195
    39      1.666      1.505       228.56569
    40      1.505      1.413       192.53198
    41      1.385      1.345       120.31244
    42      1.233      1.199       841.29126
    43      1.088      1.060       849.22014
    44      1.060      1.046       173.01822
    45      0.938      0.911       102.90060
    46      0.908      0.884        50.21191
    47      0.884      0.861       109.79097
    48      0.861      0.841       100.17968
    49      0.841      0.828        70.07844
    50      0.828      0.818        43.89289
    51      0.812      0.805        29.06029
    52      0.050      0.043         4.00000
