   Current data set:
   NAME =	vvp_sport01122015	EXPNO =	1189	PROCNO = 1
   DU   =	D:/spectra/data/mntlabData

   Number   Integrated Region     Integral
     1      8.361      8.309         8.72165
     2      8.264      8.196         8.74047
     3      7.999      7.857        27.93406
     4      7.345      7.234        24.56154
     5      7.234      7.187        17.02846
     6      7.176      7.134        11.40194
     7      7.134      7.103         6.09638
     8      7.106      7.053        13.34585
     9      6.827      6.730        21.94655
    10      5.144      5.097       134.68100
    11      4.564      4.488       229.54625
    12      4.437      4.379        19.44653
    13      4.277      4.088        85.04262
    14      4.039      3.975       184.70293
    15      3.975      3.949        19.40476
    16      3.571      3.513       346.07708
    17      3.508      3.491        28.19861
    18      3.488      3.471        20.90401
    19      3.471      3.462        11.52340
    20      3.457      3.439        49.69016
    21      3.439      3.421        82.05648
    22      3.421      3.412        31.26879
    23      3.256      3.241        16.37744
    24      3.241      3.222        29.84786
    25      3.049      3.029        26.97572
    26      2.940      2.931        14.37712
    27      2.925      2.916        28.02631
    28      2.872      2.852        10.82914
    29      2.849      2.792        34.82401
    30      2.787      2.750        11.56547
    31      2.750      2.715         9.33284
    32      2.714      2.690        48.58673
    33      2.606      2.556        35.18303
    34      2.543      2.503        14.90175
    35      2.464      2.409        18.63007
    36      2.267      2.243        35.60492
    37      2.170      2.159        13.67809
    38      2.120      2.105        29.84343
    39      1.954      1.899       264.37336
    40      1.815      1.803        13.07352
    41      1.678      1.530       107.33851
    42      1.530      1.404       103.33682
    43      1.401      1.330       132.15858
    44      1.233      1.195       781.56579
    45      1.093      1.060       377.87323
    46      1.060      1.040        76.48901
    47      0.938      0.909        48.02258
    48      0.910      0.884        23.75147
    49      0.884      0.861        50.43986
    50      0.861      0.840        48.51422
    51      0.840      0.827        32.81682
    52      0.827      0.812        30.94238
    53      0.812      0.799        24.32760
    54      0.052      0.037         4.00000
