   Current data set:
   NAME =	vvp_sport01122015	EXPNO =	1167	PROCNO = 1
   DU   =	D:/spectra/data/mntlabData

   Number   Integrated Region     Integral
     1      8.367      8.306        12.29570
     2      8.225      8.173         5.42848
     3      8.011      7.859        44.23368
     4      7.355      7.160        48.99133
     5      7.173      7.128        16.42111
     6      7.128      7.096         7.85001
     7      7.099      7.034        13.02449
     8      6.834      6.714        29.78670
     9      5.137      5.105       146.40262
    10      4.547      4.508       254.15332
    11      4.299      4.127        91.44635
    12      4.087      4.054        14.85162
    13      4.054      4.029        19.45970
    14      4.029      3.973       119.38793
    15      3.973      3.954        14.35323
    16      3.571      3.512       454.73280
    17      3.510      3.490        41.26986
    18      3.490      3.470        29.21552
    19      3.470      3.456        17.67227
    20      3.251      3.240        21.06392
    21      3.240      3.222        28.65611
    22      3.046      3.011       110.03406
    23      2.939      2.930        16.84748
    24      2.925      2.917        16.03272
    25      2.783      2.752        14.25737
    26      2.746      2.716        10.49661
    27      2.716      2.681        67.20235
    28      2.605      2.558        41.44209
    29      2.464      2.403        23.00752
    30      2.265      2.249        17.45919
    31      2.220      2.211        17.43220
    32      2.172      2.158        25.43304
    33      2.122      2.103        29.83611
    34      1.954      1.904       298.86933
    35      1.818      1.799        28.86276
    36      1.673      1.524       140.44617
    37      1.522      1.410        77.61269
    38      1.389      1.344        75.39657
    39      1.238      1.195       474.20675
    40      1.095      1.084        52.98266
    41      1.084      1.059       457.84611
    42      1.059      1.042        97.65829
    43      1.039      1.012        26.76039
    44      0.942      0.908        60.24228
    45      0.908      0.895        14.91326
    46      0.895      0.872        42.27881
    47      0.872      0.860        31.75287
    48      0.860      0.839        55.26263
    49      0.839      0.827        36.73405
    50      0.827      0.812        37.11769
    51      0.813      0.796        39.58821
    52      0.049      0.040         4.00000
