   Current data set:
   NAME =	vvp_sport01122015	EXPNO =	1117	PROCNO = 1
   DU   =	D:/spectra/data/mntlabData

   Number   Integrated Region     Integral
     1      8.362      8.324         1.00000
     2      8.238      8.177         1.90281
     3      7.991      7.880         4.12820
     4      7.353      7.231         4.14684
     5      7.231      7.175         3.10601
     6      7.172      7.123         2.40757
     7      7.123      7.098         0.92341
     8      7.098      7.041         1.97650
     9      6.913      6.860         0.68564
    10      6.824      6.721         3.59860
    11      5.773      5.578         1.92812
    12      5.136      5.105        17.84227
    13      5.105      5.076         2.30528
    14      5.077      5.048         1.31092
    15      4.571      4.504        28.36617
    16      4.201      4.101        10.76275
    17      4.041      3.973        18.59217
    18      3.973      3.950         3.48723
    19      3.824      3.810         2.83175
    20      3.572      3.511        67.17237
    21      3.511      3.491         6.55617
    22      3.491      3.469         4.88310
    23      3.469      3.457         2.35062
    24      3.452      3.440         5.91150
    25      3.440      3.421        11.99594
    26      3.421      3.402         9.79431
    27      3.402      3.384         8.67396
    28      3.044      3.025         4.22946
    29      2.940      2.931         2.72648
    30      2.924      2.916         2.19403
    31      2.845      2.789         5.90496
    32      2.778      2.753         1.40786
    33      2.715      2.688         9.95892
    34      2.603      2.556         5.03263
    35      2.550      2.495         3.21352
    36      2.466      2.403         3.19341
    37      2.181      2.171         1.65855
    38      2.167      2.158         2.12684
    39      2.118      2.106         5.11108
    40      1.941      1.903        41.59725
    41      1.813      1.799         2.95487
    42      1.680      1.532        20.04597
    43      1.512      1.403        20.02960
    44      1.386      1.344        10.81383
    45      1.234      1.197        85.33702
    46      1.087      1.059        70.07650
    47      1.059      1.042        12.86469
    48      0.938      0.911         8.52523
    49      0.904      0.883         3.88348
    50      0.883      0.860         9.57222
    51      0.860      0.840         8.80768
    52      0.840      0.828         5.75583
    53      0.828      0.817         4.15774
    54      0.811      0.803         2.87678
    55      0.049      0.040         0.41505
