   Current data set:
   NAME =	vvp_sport01122015	EXPNO =	1129	PROCNO = 1
   DU   =	D:/spectra/data/mntlabData

   Number   Integrated Region     Integral
     1      8.354      8.312         9.20131
     2      8.009      7.824        47.46493
     3      7.351      7.231        31.93555
     4      7.231      7.180        21.16153
     5      7.179      7.093        28.99327
     6      7.093      7.045        15.17536
     7      6.839      6.708        34.14523
     8      5.140      5.102       126.16425
     9      4.557      4.505       121.95417
    10      4.416      4.394         0.17334
    11      4.196      4.120        48.30145
    12      4.030      3.973       104.90690
    13      3.972      3.952        17.99067
    14      3.572      3.510       481.60756
    15      3.509      3.489        39.94201
    16      3.489      3.470        30.29170
    17      3.470      3.456        23.28838
    18      3.455      3.441        44.39901
    19      3.440      3.430        39.27489
    20      3.430      3.420        41.43655
    21      3.420      3.411        28.58946
    22      3.411      3.401        32.59802
    23      3.401      3.384        53.12673
    24      3.257      3.210        62.40349
    25      3.047      3.027        13.42361
    26      2.940      2.930        20.08448
    27      2.924      2.914        17.12446
    28      2.852      2.796        41.36517
    29      2.719      2.680        92.94768
    30      2.604      2.556        41.12579
    31      2.547      2.486        23.11589
    32      2.468      2.397        22.85619
    33      2.306      2.289        32.43691
    34      2.262      2.251        13.29975
    35      2.171      2.157        17.52895
    36      2.132      2.097        74.55289
    37      1.955      1.877       516.73316
    38      1.824      1.797        28.29585
    39      1.676      1.532       121.56010
    40      1.532      1.400       138.55248
    41      1.400      1.328       124.64753
    42      1.231      1.197       536.21828
    43      1.088      1.058       470.44789
    44      1.058      1.044        84.97846
    45      0.971      0.944        11.50525
    46      0.942      0.909        47.46909
    47      0.909      0.892        16.84561
    48      0.892      0.860        54.89545
    49      0.860      0.840        40.20192
    50      0.840      0.812        67.21402
    51      0.812      0.798        31.89680
    52      0.054      0.030         4.00000
