   Current data set:
   NAME =	vvp_sport01122015	EXPNO =	1193	PROCNO = 1
   DU   =	D:/spectra/data/mntlabData

   Number   Integrated Region     Integral
     1      8.359      8.313        12.16951
     2      8.240      8.187       -55.24884
     3      8.003      7.889        32.89892
     4      7.355      7.235        24.42459
     5      7.235      7.186        23.71898
     6      7.177      7.128        17.65134
     7      7.128      7.100         6.66091
     8      7.100      7.045        23.91488
     9      6.830      6.744        35.62691
    10      5.168      5.108       310.84556
    11      5.133      5.106       238.55870
    12      4.556      4.496       250.58547
    13      4.420      4.391         7.04364
    14      4.232      4.106       150.26380
    15      4.088      4.043        23.49758
    16      4.041      4.028        14.97653
    17      4.029      3.970       470.11944
    18      3.970      3.951        43.20680
    19      3.571      3.511       674.75890
    20      3.508      3.490        52.87877
    21      3.490      3.469        42.22095
    22      3.469      3.456        25.00458
    23      3.456      3.440        76.05333
    24      3.440      3.421       144.72166
    25      3.422      3.402       115.23300
    26      3.402      3.385        91.72149
    27      3.253      3.241        28.22995
    28      3.241      3.227        77.40117
    29      3.038      3.028        10.99475
    30      2.940      2.933        23.85249
    31      2.925      2.917        22.35846
    32      2.824      2.803        28.86507
    33      2.803      2.754        25.79847
    34      2.736      2.683       126.86441
    35      2.628      2.561       148.29070
    36      2.628      2.607        64.85073
    37      2.561      2.479        45.62262
    38      2.455      2.405        43.93745
    39      2.288      2.277        25.96047
    40      2.258      2.247        56.54520
    41      2.167      2.157        30.84515
    42      2.122      2.099       191.49084
    43      2.117      2.106       102.51711
    44      2.117      2.111        67.55925
    45      2.021      2.016        30.86542
    46      1.942      1.900       724.62176
    47      1.813      1.805        19.36422
    48      1.664      1.529       213.87157
    49      1.529      1.409       523.83773
    50      1.388      1.336       317.30255
    51      1.238      1.190      3423.52109
    52      1.089      1.061       758.66850
    53      1.061      1.044       166.23261
    54      1.037      1.012        48.47792
    55      0.969      0.939        41.50905
    56      0.939      0.910        99.26917
    57      0.910      0.884        61.86360
    58      0.884      0.860       108.91285
    59      0.860      0.840       111.29718
    60      0.840      0.827        80.14591
    61      0.827      0.816        66.46111
    62      0.053      0.040         4.00000
