   Current data set:
   NAME =	vvp_sport01122015	EXPNO =	1131	PROCNO = 1
   DU   =	D:/spectra/data/mntlabData

   Number   Integrated Region     Integral
     1      8.350      8.329         1.51146
     2      8.306      8.270       -26.66543
     3      7.988      7.862      -175.13962
     4      7.346      7.233      -199.48505
     5      7.233      7.190      -104.01208
     6      7.190      7.146       -97.16885
     7      7.145      7.107       -77.19971
     8      7.106      7.046      -128.57391
     9      6.829      6.733      -196.58227
    10      5.137      5.101      -184.08859
    11      4.562      4.506      1214.52955
    12      4.424      4.391       614.74716
    13      4.179      4.124       287.52011
    14      4.029      3.977      -240.42688
    15      3.977      3.966        29.72487
    16      3.571      3.511     -1345.32490
    17      3.507      3.491        -8.24721
    18      3.488      3.470        15.43474
    19      3.470      3.461         5.55332
    20      3.456      3.451         1.34729
    21      3.451      3.443       -52.92648
    22      3.443      3.439        -3.48142
    23      3.438      3.420      -153.25057
    24      3.420      3.400      -110.83857
    25      3.400      3.385      -103.17040
    26      3.386      3.371      -269.38055
    27      3.253      3.242        -2.92352
    28      3.242      3.224       -61.95151
    29      3.051      3.023      -128.56077
    30      2.951      2.934       -22.18936
    31      2.925      2.917       -17.76243
    32      2.718      2.691      -148.69533
    33      2.611      2.558       -19.39660
    34      2.550      2.501        42.58321
    35      2.484      2.418        48.12505
    36      2.264      2.248       -40.14095
    37      2.172      2.158       -19.91112
    38      2.122      2.105       -22.61396
    39      2.024      2.018       -32.77752
    40      1.941      1.904      -537.45944
    41      1.820      1.810       -13.56870
    42      1.674      1.531       -67.72657
    43      1.511      1.414        47.72898
    44      1.385      1.339      -276.91441
    45      1.263      1.189     -1967.22621
    46      1.096      1.088       -73.93833
    47      1.088      1.060     -1741.91276
    48      1.060      1.047      -173.12033
    49      1.037      1.011       151.24718
    50      0.976      0.968        27.46280
    51      0.968      0.959        22.95261
    52      0.959      0.952        22.48578
    53      0.952      0.936        37.43407
    54      0.936      0.927       -18.88464
    55      0.927      0.923         6.56265
    56      0.923      0.908        -6.56554
    57      0.908      0.884        30.02859
    58      0.884      0.859       -63.74193
    59      0.859      0.840       -53.56112
    60      0.840      0.828       -34.54226
    61      0.828      0.815       -25.51177
    62      0.812      0.796       -32.07861
    63      0.052      0.037         4.00000
