   Current data set:
   NAME =	vvp_sport01122015	EXPNO =	1179	PROCNO = 1
   DU   =	D:/spectra/data/mntlabData

   Number   Integrated Region     Integral
     1      8.423      8.321        21.68506
     2      8.243      8.188        11.14893
     3      8.003      7.870        39.72355
     4      7.612      7.354        31.12598
     5      7.354      7.186        56.55244
     6      7.186      7.128        20.66490
     7      7.128      7.097         9.48777
     8      7.111      7.097         3.38507
     9      7.062      7.033         2.39937
    10      6.932      6.851         7.99525
    11      6.833      6.729        38.93082
    12      5.141      5.099       176.73967
    13      4.566      4.508       266.70000
    14      4.428      4.402        13.90644
    15      4.195      4.110        79.58157
    16      4.088      4.030        51.33688
    17      4.029      3.973       336.94837
    18      3.971      3.956        19.26087
    19      3.825      3.810        25.00286
    20      3.569      3.513       628.08386
    21      3.507      3.491        40.16798
    22      3.488      3.470        35.50906
    23      3.470      3.458        31.41187
    24      3.458      3.451        16.92227
    25      3.451      3.445        61.15279
    26      3.444      3.439        21.13005
    27      3.439      3.420       122.48286
    28      3.420      3.400        94.47633
    29      3.400      3.389        61.09269
    30      3.251      3.239        23.20311
    31      3.239      3.227        26.97153
    32      3.048      3.029        17.84702
    33      2.941      2.932        24.65117
    34      2.925      2.918        19.80353
    35      2.781      2.751        14.27899
    36      2.750      2.719        10.84743
    37      2.716      2.686        76.92959
    38      2.606      2.556        70.29078
    39      2.542      2.485        27.70465
    40      2.466      2.406        44.03654
    41      2.265      2.249        43.93753
    42      2.166      2.158        19.23059
    43      2.123      2.108        41.75125
    44      1.944      1.904       347.12394
    45      1.813      1.803        18.30107
    46      1.706      1.531       185.50057
    47      1.531      1.400       136.02735
    48      1.395      1.341       226.65544
    49      1.354      1.329        36.14891
    50      1.248      1.189      1412.65110
    51      1.094      1.086        48.40291
    52      1.086      1.059       626.79426
    53      1.059      1.049       105.78615
    54      1.038      1.016        14.22267
    55      0.968      0.945        15.33675
    56      0.944      0.936         4.55799
    57      0.937      0.908        55.95246
    58      0.908      0.883        27.78076
    59      0.884      0.859        66.98459
    60      0.859      0.839        56.68328
    61      0.839      0.827        37.39474
    62      0.828      0.817        29.66275
    63      0.813      0.796        49.89390
    64      0.054      0.036         4.00000
