   Current data set:
   NAME =	vvp_sport01122015	EXPNO =	1123	PROCNO = 1
   DU   =	D:/spectra/data/mntlabData

   Number   Integrated Region     Integral
     1      8.354      8.313        12.12763
     2      8.253      8.189         1.65353
     3      7.982      7.866        55.24886
     4      7.365      7.232        49.35225
     5      7.232      7.182        38.42546
     6      7.182      7.128        28.86686
     7      7.128      7.099        12.06861
     8      7.099      7.041        34.34214
     9      6.851      6.694        66.05859
    10      5.141      5.102       277.45872
    11      4.557      4.505       332.07190
    12      4.416      4.398         3.28442
    13      4.194      4.118        91.69779
    14      4.094      4.068        12.36489
    15      4.068      4.041        20.95681
    16      4.044      4.030        18.01306
    17      4.030      3.975       430.13153
    18      3.975      3.954        35.22101
    19      3.571      3.514       887.16096
    20      3.508      3.493        71.26881
    21      3.490      3.469        59.95966
    22      3.469      3.461        31.16937
    23      3.457      3.451        18.61105
    24      3.451      3.444        64.42970
    25      3.444      3.440        17.41275
    26      3.440      3.419       177.38071
    27      3.420      3.401       136.94989
    28      3.402      3.391        90.42043
    29      3.043      3.028        18.62148
    30      2.941      2.932        38.12180
    31      2.924      2.918        16.29521
    32      2.716      2.686       146.54288
    33      2.604      2.557        71.74574
    34      2.547      2.500        37.87659
    35      2.461      2.407        44.76744
    36      2.267      2.248        71.67547
    37      2.167      2.158        32.30884
    38      2.119      2.108        54.78128
    39      1.944      1.903       533.85368
    40      1.821      1.799        58.99568
    41      1.673      1.517       299.83857
    42      1.517      1.406       185.98096
    43      1.389      1.333       318.13555
    44      1.235      1.197      1685.19222
    45      1.095      1.087        53.40112
    46      1.087      1.059       890.02523
    47      1.059      1.046       156.76562
    48      0.972      0.943        34.36345
    49      0.944      0.907       139.04146
    50      0.907      0.894        28.46815
    51      0.894      0.874        96.19690
    52      0.874      0.860        82.22106
    53      0.860      0.840       116.30501
    54      0.840      0.829        70.39669
    55      0.829      0.816        60.50898
    56      0.811      0.797        58.29565
    57      0.050      0.040         4.00000
