   Current data set:
   NAME =	vvp_sport01122015	EXPNO =	1143	PROCNO = 1
   DU   =	D:/spectra/data/mntlabData

   Number   Integrated Region     Integral
     1      8.357      8.316         7.82302
     2      8.262      8.123        15.80391
     3      8.151      8.123         2.11590
     4      8.012      7.860        37.12583
     5      7.646      7.362        23.52229
     6      7.362      7.190        47.40459
     7      7.165      7.122        17.95658
     8      7.122      7.093         7.59747
     9      7.093      7.049        14.71559
    10      6.803      6.750        23.48326
    11      5.140      5.092       202.69489
    12      5.083      5.048        13.80690
    13      4.558      4.502       272.68618
    14      4.417      4.396         4.83749
    15      4.269      4.111        96.96658
    16      4.035      4.028         5.52288
    17      4.028      3.973       171.26268
    18      3.973      3.955        20.66323
    19      3.825      3.811        18.84769
    20      3.569      3.510       619.66119
    21      3.507      3.489        52.33000
    22      3.489      3.469        44.27852
    23      3.469      3.462        13.74163
    24      3.457      3.451         7.49387
    25      3.451      3.443        48.06308
    26      3.440      3.420       124.04493
    27      3.420      3.402        99.53639
    28      3.402      3.384        87.87797
    29      3.384      3.372       159.85503
    30      3.282      3.273        43.09046
    31      3.273      3.261        50.80618
    32      3.249      3.239        27.72329
    33      3.239      3.225        44.02745
    34      3.187      3.176        13.78407
    35      3.176      3.166        13.17410
    36      3.166      3.156        25.64909
    37      3.048      3.021        20.58256
    38      2.941      2.930        28.12309
    39      2.923      2.917        11.77394
    40      2.872      2.849        20.34384
    41      2.844      2.793        51.57480
    42      2.782      2.747        14.74289
    43      2.747      2.733         3.83640
    44      2.731      2.716         5.45362
    45      2.715      2.687        86.96255
    46      2.602      2.557        47.80465
    47      2.545      2.503        21.48267
    48      2.464      2.405        27.57974
    49      2.290      2.275        29.25327
    50      2.261      2.248        21.87345
    51      2.180      2.165        18.49836
    52      2.166      2.158        13.20024
    53      2.158      2.144        19.36463
    54      2.144      2.131        19.15737
    55      2.118      2.107        29.94644
    56      2.033      2.025        33.58401
    57      2.022      2.017        19.73301
    58      2.007      2.001        13.79192
    59      2.001      1.992        16.81225
    60      1.940      1.902       337.99831
    61      1.817      1.801        30.64606
    62      1.668      1.521       189.22426
    63      1.506      1.406       114.49393
    64      1.379      1.340       124.84615
    65      1.321      1.278        53.68046
    66      1.321      1.265        69.81395
    67      1.230      1.199       729.59937
    68      1.087      1.059       664.10331
    69      1.060      1.047       110.29826
    70      0.936      0.909        63.86580
    71      0.903      0.883        25.22961
    72      0.883      0.859        78.92682
    73      0.859      0.849        24.00780
    74      0.849      0.839        45.34654
    75      0.839      0.826        41.37382
    76      0.826      0.811        39.32968
    77      0.815      0.811         8.82347
    78      0.810      0.801        24.01705
    79      0.053      0.034         4.00000
