   Current data set:
   NAME =	vvp_sport01122015	EXPNO =	1191	PROCNO = 1
   DU   =	D:/spectra/data/mntlabData

   Number   Integrated Region     Integral
     1      8.357      8.296         7.63666
     2      8.001      7.886        21.28898
     3      7.345      7.175        34.77283
     4      7.175      7.128        10.86115
     5      7.128      7.097         5.03882
     6      7.097      7.040        13.97503
     7      6.840      6.711        24.18635
     8      5.135      5.106       119.30572
     9      4.573      4.499       144.57917
    10      4.435      4.361         4.73783
    11      4.276      4.090        87.69201
    12      4.027      3.970       211.47072
    13      3.969      3.954        18.57881
    14      3.820      3.810         8.93658
    15      3.569      3.510       327.66443
    16      3.510      3.490        37.28247
    17      3.490      3.469        25.21813
    18      3.469      3.456        15.43186
    19      3.456      3.438        41.82059
    20      3.438      3.419        71.44959
    21      3.419      3.400        58.82059
    22      3.400      3.386        41.20594
    23      3.254      3.240        15.91632
    24      3.240      3.221        45.30586
    25      3.043      3.018        13.11724
    26      2.937      2.930        12.53571
    27      2.923      2.915        11.02968
    28      2.833      2.814        13.38075
    29      2.814      2.806         6.89283
    30      2.778      2.751         8.00058
    31      2.745      2.716         9.89996
    32      2.713      2.683        57.38079
    33      2.604      2.559        38.88892
    34      2.548      2.498        17.27640
    35      2.463      2.456         1.20447
    36      2.262      2.244        31.73301
    37      2.115      2.107        38.15376
    38      2.022      2.016        14.73343
    39      1.938      1.901       322.16690
    40      1.685      1.518       122.29738
    41      1.523      1.388       273.40928
    42      1.388      1.332       143.11806
    43      1.237      1.195      1519.17078
    44      1.086      1.056       403.89078
    45      1.058      1.046        66.10495
    46      1.039      1.010        14.52767
    47      0.974      0.942        17.27584
    48      0.942      0.907        49.34874
    49      0.907      0.882        27.62362
    50      0.883      0.859        55.26690
    51      0.859      0.836        64.24642
    52      0.838      0.826        40.81372
    53      0.826      0.814        39.17442
    54      0.067      0.032         4.00000
