   Current data set:
   NAME =	vvp_sport01122015	EXPNO =	1153	PROCNO = 1
   DU   =	D:/spectra/data/mntlabData

   Number   Integrated Region     Integral
     1      8.363      8.324         5.12428
     2      8.231      8.158         9.88344
     3      7.992      7.834        22.29289
     4      7.585      7.377        17.50791
     5      7.357      7.185        31.80850
     6      7.181      7.122        12.44836
     7      7.122      7.102         3.34118
     8      7.102      7.049         9.27900
     9      6.943      6.857         5.38067
    10      6.820      6.738        14.21405
    11      6.058      5.530        28.49296
    12      5.145      5.092        85.52151
    13      5.085      5.057         6.95863
    14      4.554      4.504       102.92941
    15      4.191      4.108        31.93639
    16      4.099      4.040        13.75583
    17      4.042      4.028         5.34202
    18      4.028      3.973        62.56554
    19      3.973      3.938        15.60265
    20      3.572      3.512       263.18494
    21      3.512      3.489        26.34194
    22      3.489      3.469        16.78815
    23      3.469      3.458         8.26930
    24      3.458      3.440        26.46453
    25      3.441      3.422        49.83654
    26      3.422      3.401        43.10177
    27      3.401      3.385        34.86698
    28      3.253      3.240        11.91028
    29      3.240      3.226        15.56985
    30      3.045      3.026        22.84427
    31      2.940      2.931        10.29632
    32      2.925      2.917         9.52140
    33      2.874      2.852         8.86049
    34      2.838      2.816        11.38493
    35      2.816      2.806         4.93343
    36      2.782      2.748         7.26769
    37      2.748      2.720         5.00359
    38      2.720      2.691        46.49615
    39      2.604      2.557        22.14622
    40      2.549      2.510         9.94284
    41      2.460      2.409        11.95649
    42      2.263      2.249        10.24476
    43      2.167      2.157         9.74467
    44      2.116      2.110        12.57103
    45      1.942      1.900       173.68076
    46      1.818      1.803        12.34520
    47      1.666      1.543        72.87415
    48      1.513      1.420        52.53985
    49      1.383      1.344        39.41331
    50      1.321      1.269        23.66396
    51      1.234      1.198       264.05598
    52      1.094      1.089        12.08758
    53      1.088      1.087         2.30003
    54      1.086      1.059       255.29938
    55      1.059      1.045        54.88059
    56      1.039      1.014        13.52811
    57      0.936      0.906        35.51528
    58      0.906      0.883        15.45402
    59      0.883      0.860        38.63311
    60      0.860      0.839        36.00989
    61      0.839      0.826        24.83971
    62      0.826      0.817        14.10926
    63      0.811      0.801        13.50851
    64      0.061      0.032         4.00000
