   Current data set:
   NAME =	vvp_sport01122015	EXPNO =	1133	PROCNO = 1
   DU   =	D:/spectra/data/mntlabData

   Number   Integrated Region     Integral
     1      8.350      8.313        10.80838
     2      7.990      7.861        50.74960
     3      7.353      7.231        34.41311
     4      7.231      7.165        31.23123
     5      7.165      7.113        26.92796
     6      7.121      7.091        10.54682
     7      7.098      7.039        18.01494
     8      6.836      6.730        42.83863
     9      5.138      5.102       268.72330
    10      5.074      5.056        12.44445
    11      4.553      4.498       363.88728
    12      4.420      4.393         3.77823
    13      4.385      4.348         7.14309
    14      4.218      4.106       110.24864
    15      4.040      3.969       277.66601
    16      3.969      3.948        28.19197
    17      3.569      3.511       783.00513
    18      3.508      3.489        67.35276
    19      3.486      3.469        44.84955
    20      3.468      3.453        31.38595
    21      3.451      3.438        82.93533
    22      3.438      3.418       162.28244
    23      3.419      3.399       133.94095
    24      3.398      3.382       105.63237
    25      3.381      3.369       208.01993
    26      3.254      3.237        37.45661
    27      3.237      3.220        40.08983
    28      3.052      3.013       171.96962
    29      2.937      2.928        29.49304
    30      2.922      2.914        22.86785
    31      2.778      2.748        18.73449
    32      2.743      2.714        14.10400
    33      2.713      2.686       117.90602
    34      2.604      2.552        69.10200
    35      2.550      2.499        33.88057
    36      2.463      2.403        31.90757
    37      2.264      2.245        45.41483
    38      2.127      2.095        93.76479
    39      1.948      1.889       638.93051
    40      1.811      1.796        38.55761
    41      1.682      1.519       257.30099
    42      1.519      1.404       200.50380
    43      1.404      1.304       249.29348
    44      1.238      1.193      1277.22561
    45      1.084      1.057       819.44186
    46      1.057      1.041       137.13106
    47      1.038      1.008        14.16621
    48      0.934      0.906        92.82391
    49      0.906      0.881        42.30977
    50      0.881      0.857       105.26047
    51      0.857      0.837        93.99516
    52      0.837      0.825        62.57193
    53      0.825      0.809        69.17402
    54      0.808      0.793        62.93472
    55      0.046      0.038         4.00000
