   Current data set:
   NAME =	vvp_sport01122015	EXPNO =	1139	PROCNO = 1
   DU   =	D:/spectra/data/mntlabData

   Number   Integrated Region     Integral
     1      8.422      8.356         8.52355
     2      8.356      8.330         4.74122
     3      8.234      8.182         6.11152
     4      8.021      7.862        28.64924
     5      7.339      7.286         9.10492
     6      7.284      7.228        10.65356
     7      7.228      7.191        13.11559
     8      7.161      7.123        10.19647
     9      7.123      7.099         4.14109
    10      7.099      7.046         9.05649
    11      6.803      6.755        12.34768
    12      5.138      5.102        98.57025
    13      5.080      5.063         5.81034
    14      4.555      4.508       137.97101
    15      4.205      4.113        47.80509
    16      4.037      4.028         4.80414
    17      4.028      3.975        87.65409
    18      3.971      3.954        13.14857
    19      3.954      3.940         7.08476
    20      3.821      3.813         8.90227
    21      3.807      3.790        67.12155
    22      3.573      3.516       350.69201
    23      3.516      3.492        35.64175
    24      3.492      3.470        25.92146
    25      3.473      3.454        19.03702
    26      3.454      3.442        31.69219
    27      3.440      3.420        64.29572
    28      3.420      3.401        51.39972
    29      3.400      3.386        43.44549
    30      3.386      3.372        88.18814
    31      3.373      3.363        41.91339
    32      3.363      3.355        63.26804
    33      3.254      3.240        17.10378
    34      3.240      3.223        21.72410
    35      3.043      3.027         9.19135
    36      2.942      2.930        16.01903
    37      2.925      2.916        12.04108
    38      2.720      2.682        72.10072
    39      2.604      2.556        28.19090
    40      2.548      2.501        14.61984
    41      2.465      2.405        14.29152
    42      2.405      2.387         4.14278
    43      2.308      2.291        26.99557
    44      2.263      2.250        12.97489
    45      2.120      2.104        23.43196
    46      1.948      1.904       248.70507
    47      1.819      1.799        20.74386
    48      1.673      1.537        97.82521
    49      1.506      1.418        75.45362
    50      1.394      1.343        79.47078
    51      1.237      1.190       496.99890
    52      1.088      1.061       342.71323
    53      1.061      1.048        69.55076
    54      0.939      0.911        40.79478
    55      0.907      0.885        18.39980
    56      0.885      0.860        43.62059
    57      0.860      0.840        37.37987
    58      0.840      0.826        27.29681
    59      0.826      0.813        24.07187
    60      0.813      0.801        18.81683
    61      0.056      0.034         4.00000
