   Current data set:
   NAME =	vvp_sport01122015	EXPNO =	1155	PROCNO = 1
   DU   =	D:/spectra/data/mntlabData

   Number   Integrated Region     Integral
     1      7.986      7.879        23.10809
     2      7.343      7.231        19.18012
     3      7.231      7.186        14.05231
     4      7.186      7.098        20.78391
     5      7.098      7.026        11.39975
     6      6.816      6.735        20.20640
     7      5.153      5.097       215.74821
     8      4.556      4.493       425.76566
     9      4.418      4.395        47.58884
    10      4.190      4.110        82.06695
    11      4.040      3.974       109.64784
    12      3.974      3.955        16.65688
    13      3.571      3.511       400.13829
    14      3.510      3.490        33.78864
    15      3.490      3.472        23.32297
    16      3.472      3.456        18.27072
    17      3.261      3.203        68.46347
    18      3.053      3.008        22.25870
    19      2.942      2.925        23.37097
    20      2.921      2.902        23.32721
    21      2.721      2.679        61.66019
    22      2.608      2.552        36.47789
    23      2.478      2.402        24.59107
    24      2.265      2.249        15.54473
    25      2.173      2.143        27.19791
    26      2.123      2.101        22.76893
    27      1.947      1.887       265.28772
    28      1.824      1.795        31.14077
    29      1.682      1.523       114.75720
    30      1.513      1.402        67.45921
    31      1.384      1.331        77.76356
    32      1.315      1.257        44.25968
    33      1.235      1.195       350.76051
    34      1.098      1.036       536.12326
    35      0.947      0.909        33.99366
    36      0.909      0.895         6.65747
    37      0.895      0.860        46.04172
    38      0.860      0.852         9.74735
    39      0.852      0.828        44.54094
    40      0.828      0.816        20.09313
    41      0.816      0.796        28.73855
    42      0.055      0.031         4.00000
