   Current data set:
   NAME =	vvp_sport01122015	EXPNO =	1163	PROCNO = 1
   DU   =	D:/spectra/data/mntlabData

   Number   Integrated Region     Integral
     1      8.358      8.306         6.72175
     2      7.981      7.865        26.31103
     3      7.353      7.182        40.18560
     4      7.182      7.098        22.89407
     5      7.098      7.031        12.40560
     6      6.831      6.707        27.54671
     7      5.144      5.109       162.48711
     8      5.138      5.097       166.75174
     9      5.084      5.060        28.14224
    10      4.555      4.509       313.81880
    11      4.417      4.399        19.70080
    12      4.185      4.118        52.54979
    13      4.042      4.031         7.04917
    14      4.032      3.975        87.91630
    15      3.974      3.954        16.22974
    16      3.574      3.514       476.69251
    17      3.512      3.493        36.70098
    18      3.493      3.472        29.13601
    19      3.472      3.458        15.18798
    20      3.458      3.443        44.15274
    21      3.443      3.422        88.97860
    22      3.422      3.403        70.63332
    23      3.403      3.387        59.16774
    24      3.255      3.241        21.27540
    25      3.241      3.226        26.67421
    26      3.051      3.022       126.29128
    27      2.943      2.934        18.88199
    28      2.920      2.904        25.49841
    29      2.783      2.752         9.11175
    30      2.749      2.718         6.67192
    31      2.718      2.681        74.58813
    32      2.605      2.558        39.03903
    33      2.556      2.503        17.74232
    34      2.469      2.404        20.36781
    35      2.265      2.251        12.98181
    36      2.174      2.159        17.61201
    37      2.123      2.108        19.99152
    38      1.943      1.904       242.60234
    39      1.814      1.800        19.90792
    40      1.688      1.517       153.04981
    41      1.515      1.423        59.65526
    42      1.388      1.344        85.43877
    43      1.327      1.265        51.25532
    44      1.236      1.196       353.76887
    45      1.091      1.061       484.88322
    46      1.061      1.044        93.73281
    47      0.939      0.929        23.14958
    48      0.938      0.908        53.55521
    49      0.926      0.922         2.81209
    50      0.918      0.909         8.53459
    51      0.907      0.893        12.97801
    52      0.893      0.875        39.10165
    53      0.875      0.861        33.63424
    54      0.861      0.841        55.69260
    55      0.841      0.828        37.16344
    56      0.828      0.814        34.94811
    57      0.814      0.797        34.62890
    58      0.066      0.030         4.00000
